Test (2C): unreliable agreement ...
003291 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:-1
065927 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:0,我的任期:21，lastterm:0,lastlogindex:0
065950 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:0,我的任期:21，lastterm:0,lastlogindex:0
066027 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:0,我的任期:21，lastterm:0,lastlogindex:0
068861 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:1,我的voteFor:4
068861 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 21
068872 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:0,阻塞时长>5ms
068883 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
068884 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:1,我的voteFor:1
068884 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 21
068895 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
068895 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
068906 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
068907 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
068907 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
068907 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
068919 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
068920 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:0,我的任期:21，lastterm:0,lastlogindex:0
068921 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:1
068930 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
068930 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
068930 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
068964 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:0,我的任期:21，lastterm:0,lastlogindex:0
068964 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:4
068977 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:1,我的任期:22，lastterm:0,lastlogindex:0
069028 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:22，lastterm:0,lastlogindex:0
069061 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:1,我的任期:22，lastterm:0,lastlogindex:0
069083 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:0,我的任期:21，lastterm:0,lastlogindex:0
069084 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:1
069096 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:0,我的任期:22，lastterm:0,lastlogindex:0
069127 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:0,我的任期:22，lastterm:0,lastlogindex:0
069129 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:1,我的任期:22，lastterm:0,lastlogindex:0
069172 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:1,我的任期:22，lastterm:0,lastlogindex:0
072201 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:1,我的voteFor:1
072202 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 22
072216 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
072228 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
072244 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
072258 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
072259 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
072259 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
072261 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:0,我的任期:22，lastterm:0,lastlogindex:0
072264 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:1
072315 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:1,我的任期:22，lastterm:0,lastlogindex:0
072317 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:1
072338 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:22，lastterm:0,lastlogindex:0
072339 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:1
072429 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:0,我的任期:22，lastterm:0,lastlogindex:0
072430 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:1
075422 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:1,我的voteFor:1
075423 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 23
075434 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
075446 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
075457 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
075458 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:0,我的voteFor:1
075458 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 23
075469 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
075470 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
075470 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
075470 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:0,阻塞时长>5ms
075482 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
075494 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
075507 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
075507 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
075507 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
075541 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:0,我的任期:23，lastterm:0,lastlogindex:0
075542 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:1
075588 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:23，lastterm:0,lastlogindex:0
075589 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:1
075633 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:0,我的任期:24，lastterm:0,lastlogindex:0
075633 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:0,我的任期:24，lastterm:0,lastlogindex:0
075633 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:0,我的任期:23，lastterm:0,lastlogindex:0
075634 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:1
075715 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:0,我的任期:24，lastterm:0,lastlogindex:0
075727 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:1,我的任期:24，lastterm:0,lastlogindex:0
075727 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:1,我的任期:24，lastterm:0,lastlogindex:0
078791 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:0,我的voteFor:1
078792 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 24
078805 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:1,阻塞时长>5ms
078816 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:2,阻塞时长>5ms
078828 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
078829 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:0,我的voteFor:1
078829 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 24
078829 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:1
078830 TIMR [	    func-electionEvent-rf(2)		] : rf.Term: 24
078830 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:1,我的任期:24，lastterm:0,lastlogindex:0
078831 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:0
078840 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
078841 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
078842 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
078842 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
078842 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:0,阻塞时长>5ms
078855 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:1,阻塞时长>5ms
078856 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
078868 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
078868 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:3,阻塞时长>5ms
078871 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:1,我的任期:24，lastterm:0,lastlogindex:0
078873 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器投票回复:4, 对方是否为我投票:true
078873 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
078873 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
078873 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:2
078874 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:0,我的任期:25，lastterm:0,lastlogindex:0
078880 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
078881 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
078881 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:1,我的任期:25，lastterm:0,lastlogindex:0
078882 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
078914 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:0,我的任期:25，lastterm:0,lastlogindex:0
078960 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:1,我的任期:25，lastterm:0,lastlogindex:0
078960 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S0, 我的身份是:0,我的任期:25，lastterm:0,lastlogindex:0
078961 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:1,我的任期:25，lastterm:0,lastlogindex:0
078961 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:0,我的任期:25，lastterm:0,lastlogindex:0
078973 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:1,我的任期:25，lastterm:0,lastlogindex:0
079007 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S2, 我的身份是:1,我的任期:25，lastterm:0,lastlogindex:0
079039 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:1,我的任期:25，lastterm:0,lastlogindex:0
081842 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:1,我的voteFor:0
081844 TIMR [	    func-electionEvent-rf(0)		] : rf.Term: 25
081854 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:0,我的voteFor:0
081854 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 25
081857 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:1,阻塞时长>5ms
081869 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
081870 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:2,阻塞时长>5ms
081881 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
081882 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:3,阻塞时长>5ms
081894 TIMR [	    func-sendRequestVote-rf(0)		] :请求服务器超时了:4,阻塞时长>5ms
081894 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
081894 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:1,我的voteFor:0
081894 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
081908 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
081908 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
081908 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
081935 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S0, 我的身份是:1,我的任期:26，lastterm:0,lastlogindex:0
081946 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:1,我的voteFor:2
081947 TIMR [	    func-electionEvent-rf(2)		] : rf.Term: 25
081947 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S0, 我的身份是:1,我的任期:25，lastterm:0,lastlogindex:0
081949 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:0,我的voteFor:0
081958 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:0,阻塞时长>5ms
081971 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:1,阻塞时长>5ms
081982 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:3,阻塞时长>5ms
081982 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:1,我的任期:26，lastterm:0,lastlogindex:0
081994 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:4,阻塞时长>5ms
081994 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
081994 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
082040 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S2, 我的身份是:0,我的任期:26，lastterm:0,lastlogindex:0
082052 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:0,我的任期:25，lastterm:0,lastlogindex:0
082053 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:1
082062 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:1,我的任期:26，lastterm:0,lastlogindex:0
082085 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:0,我的任期:26，lastterm:0,lastlogindex:0
082086 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S0, 我的身份是:0,我的任期:26，lastterm:0,lastlogindex:0
082086 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:1,我的任期:26，lastterm:0,lastlogindex:0
082098 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:0,我的任期:26，lastterm:0,lastlogindex:0
082141 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:1,我的任期:26，lastterm:0,lastlogindex:0
082184 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:1,我的任期:26，lastterm:0,lastlogindex:0
082247 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S0, 我的身份是:1,我的任期:26，lastterm:0,lastlogindex:0
085364 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:0,我的voteFor:0
085365 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:0,我的voteFor:1
085366 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 26
085365 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 26
085380 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:0,阻塞时长>5ms
085381 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
085392 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
085393 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
085405 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
085405 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
085417 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
085417 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
085417 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
085418 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
085418 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
085419 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
085451 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:1,我的任期:26，lastterm:0,lastlogindex:0
085452 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:1,我的任期:27，lastterm:0,lastlogindex:0
085453 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:4
085505 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:1,我的任期:27，lastterm:0,lastlogindex:0
085506 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:1,我的任期:26，lastterm:0,lastlogindex:0
085507 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:4
085518 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:1,我的voteFor:1
085519 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 26
085532 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
085544 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
085557 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
085569 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
085570 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S1, 我的身份是:0,我的任期:27，lastterm:0,lastlogindex:0
085570 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:1,我的任期:27，lastterm:0,lastlogindex:0
085570 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
085571 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
085582 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S1, 我的身份是:1,我的任期:27，lastterm:0,lastlogindex:0
085606 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:0,我的任期:27，lastterm:0,lastlogindex:0
085629 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:0,我的任期:27，lastterm:0,lastlogindex:0
085629 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:1,我的任期:27，lastterm:0,lastlogindex:0
085631 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S1, 我的身份是:0,我的任期:27，lastterm:0,lastlogindex:0
085758 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:1,我的任期:27，lastterm:0,lastlogindex:0
085824 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S1, 我的身份是:1,我的任期:27，lastterm:0,lastlogindex:0
088486 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:1,我的voteFor:3
088487 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 27
088502 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
088516 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
088529 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
088544 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
088545 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
088545 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
088568 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:1,我的任期:27，lastterm:0,lastlogindex:0
088571 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:3
088611 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:0,我的任期:27，lastterm:0,lastlogindex:0
088613 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:3
088675 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:1,我的任期:27，lastterm:0,lastlogindex:0
088677 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:0,我的voteFor:3
088749 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:0,我的任期:27，lastterm:0,lastlogindex:0
088751 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:0,我的voteFor:3
091733 TIMR [	    func-ticker-rf(4)		] :选举超时了, 我的身份是:0,我的voteFor:3
091734 TIMR [	    func-electionEvent-rf(4)		] : rf.Term: 28
091747 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:0,阻塞时长>5ms
091760 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:1,阻塞时长>5ms
091773 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:2,阻塞时长>5ms
091785 TIMR [	    func-sendRequestVote-rf(4)		] :请求服务器超时了:3,阻塞时长>5ms
091785 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
091785 TIMR [	    func-ticker-rf(4)		] :选举刷新了, 我的身份是:1,我的voteFor:4
091818 TIMR [	    func-ticker-rf(2)		] :选举超时了, 我的身份是:0,我的voteFor:3
091819 TIMR [	    func-electionEvent-rf(2)		] : rf.Term: 28
091820 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S4, 我的身份是:0,我的任期:28，lastterm:0,lastlogindex:0
091822 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:0,我的voteFor:4
091832 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:0,阻塞时长>5ms
091845 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:1,阻塞时长>5ms
091858 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:3,阻塞时长>5ms
091871 TIMR [	    func-sendRequestVote-rf(2)		] :请求服务器超时了:4,阻塞时长>5ms
091871 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
091871 TIMR [	    func-ticker-rf(2)		] :选举刷新了, 我的身份是:1,我的voteFor:2
091883 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S4, 我的身份是:0,我的任期:28，lastterm:0,lastlogindex:0
091885 TIMR [	    func-ticker-rf(0)		] :选举刷新了, 我的身份是:0,我的voteFor:4
091886 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S4, 我的身份是:1,我的任期:29，lastterm:0,lastlogindex:0
091886 TIMR [	    func-ticker-rf(3)		] :选举超时了, 我的身份是:1,我的voteFor:3
091887 TIMR [	    func-electionEvent-rf(3)		] : rf.Term: 28
091907 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:0,阻塞时长>5ms
091920 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:1,阻塞时长>5ms
091920 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S3, 我的身份是:0,我的任期:29，lastterm:0,lastlogindex:0
091933 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:2,阻塞时长>5ms
091945 TIMR [	    func-sendRequestVote-rf(3)		] :请求服务器超时了:4,阻塞时长>5ms
091945 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
091945 TIMR [	    func-ticker-rf(3)		] :选举刷新了, 我的身份是:1,我的voteFor:3
091974 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S4, 我的身份是:1,我的任期:29，lastterm:0,lastlogindex:0
091987 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S2, 我的身份是:0,我的任期:29，lastterm:0,lastlogindex:0
092039 TIMR [	    func-RequestVote-rf(S3)		] :有人请求我投票:S2, 我的身份是:1,我的任期:29，lastterm:0,lastlogindex:0
092073 TIMR [	    func-RequestVote-rf(S1)		] :有人请求我投票:S2, 我的身份是:0,我的任期:29，lastterm:0,lastlogindex:0
092096 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:0,我的任期:29，lastterm:0,lastlogindex:0
092119 TIMR [	    func-RequestVote-rf(S2)		] :有人请求我投票:S3, 我的身份是:1,我的任期:29，lastterm:0,lastlogindex:0
092121 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S2, 我的身份是:1,我的任期:29，lastterm:0,lastlogindex:0
092153 TIMR [	    func-RequestVote-rf(S4)		] :有人请求我投票:S3, 我的身份是:1,我的任期:29，lastterm:0,lastlogindex:0
092229 TIMR [	    func-RequestVote-rf(S0)		] :有人请求我投票:S3, 我的身份是:0,我的任期:29，lastterm:0,lastlogindex:0
094982 TIMR [	    func-ticker-rf(1)		] :选举超时了, 我的身份是:0,我的voteFor:4
094984 TIMR [	    func-electionEvent-rf(1)		] : rf.Term: 29
094997 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:0,阻塞时长>5ms
095009 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:2,阻塞时长>5ms
095022 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:3,阻塞时长>5ms
095034 TIMR [	    func-sendRequestVote-rf(1)		] :请求服务器超时了:4,阻塞时长>5ms
095034 TIMR [	    func-ticker-rf(1)		] :选举刷新了, 我的身份是:1,我的voteFor:1
095034 TIMR [	    func-ticker-rf(0)		] :选举超时了, 我的身份是:0,我的voteFor:4
